Ship,ship_id,Total_Deaths,TotalBattles,TotalFrags,TotalWins
Wiesbaden,3531519792,55814,81530,57064,43364
Black Swan,4188977104,316677,520585,870175,287062
Cheshire,3762206672,97104,152397,105112,81933
AL Cheshire,3709777872,52282,81563,56328,42739
Belfast,3763255248,767900,1333236,1407221,787716
Hampshire,3730749392,54225,75905,49840,38301
Dido,3743332304,100606,143717,104788,76654
Orion '44,3544102864,10259,16283,16008,9608
Tiger '59,3751720912,54798,91520,68947,51828
Sinann,3552491472,,,,
Exeter,3765352400,247456,351747,281951,195066
London,3753818064,214426,295435,198236,156198
Nottingham,3720263632,30280,41021,26828,20821
Bóinn,3553540048,,,,
STAR Edinburgh,3363747792,11387,17629,12091,9376
Belfast '43,3741235152,118163,168483,102758,87102
Érne,3542005712,,,,
Yahagi,3765352144,196063,260903,189879,140086
Atago B,3667834576,237990,396147,290809,214176
Yūbari,4290688720,478236,682057,764205,373457
ARP Maya,3542005456,39011,67521,51080,37606
ARP Nachi,3522082512,186719,260397,163669,131455
Southern Dragon,3543054032,138180,192299,128977,98393
ARP Haguro,3551442640,312907,432688,263713,215294
ARP Myōkō,3555636944,458087,666654,477357,347709
Tokachi,3763254992,73200,99087,70142,51750
Iwaki Alpha,4267620048,28599,43510,60866,26222
Tone,4276008656,109360,208706,139753,111015
Maya,3752769232,99426,146359,117055,80601
Hashidate,4256085712,193357,314595,513409,168460
ARP Takao,3552491216,876022,1349068,872344,705330
Katori,3767449296,74102,113918,144502,63939
Atago,4255037136,2027981,3284630,2240680,1730378
Eastern Dragon,3532568272,11305,16072,10563,8300
ARP Ashigara,3553539792,217964,303206,186325,152383
Júpiter,4188976560,19644,31519,130474,13793
Numancia,3762206128,39210,57920,44149,30622
Canarias,3764303280,95280,132626,92863,70847
Comandante Aguirre,3552490832,1593,2359,2332,1373
Nueve de Julio,3763254608,132087,197819,151449,105340
Almirante Abreu,3768497488,4727,8723,17518,4932
Almirante Grau,3762206032,105040,165880,129836,89687
Hércules,4188976464,20417,36213,158692,17368
Xin Zhong Guo 14,3543577808,34100,52307,21727,27351
S-189,3761681872,150980,250202,122288,131001
Alliance,3761682384,59700,92370,36703,47362
I-56,3751196368,213451,286258,189854,145232
Affondatore,4283381488,,,,
Dalarna,4178457904,253778,397811,319250,204089
Skåne,4182652208,835175,1220777,738150,622741
Stord,4078843184,127054,168332,114204,87129
Grom,4077794608,199399,263543,182232,135567
Romulus,4186846512,94786,125627,117947,62194
Split,4076746032,282668,369008,243068,184171
Halland,4179506480,3139867,5091196,3674208,2579423
Västerås,4183700784,622343,884193,561705,460814
Tátra,4187895088,55847,78077,93205,36823
Östergötland,4180555056,1159658,1868633,1297967,937504
Gdańsk,4074648880,334038,472538,377419,246602
Visby,4184749360,506389,703617,454383,366336
Klas Horn,4185797936,127456,164122,132463,80795
Lambros Katsonis,4075697456,243762,316300,183067,155213
Muavenet,4079891760,81783,109937,75502,55809
Öland,4181603632,1057666,1570734,993469,783325
Turbine,4185798384,69442,98190,116096,52006
Attilio Regolo,4179506928,274365,413824,342468,216394
Adriatico,4180555504,261228,363609,235968,180709
Luca Tarigo,4182652656,244921,347719,268499,184580
Nazario Sauro,4186846960,30224,53991,106464,32197
Curtatone,4187895536,41190,79636,211877,48966
Aviere,4183701232,205005,302002,273480,168422
Maestrale,4184749808,158649,222474,205390,121610
Vittorio Cuniberti,4181604080,229783,327101,229135,167036
Benson,4286461936,2346472,3270010,2050612,1633761
Wickes,4266538992,817447,1009219,1036039,513472
Clemson,4274927600,1624372,2127245,2337581,1139290
Joshua Humphreys,4178458608,101772,146452,97220,72949
Nicholas,4280170480,2061598,2557343,1731469,1277977
Hughes,4256053232,81033,124143,104577,67747
Sampson,4292753392,347742,446536,448459,221348
Osborne,4255004656,49390,73814,60840,38833
Mahan,4288559088,2195739,2872827,1670305,1421632
Fletcher,4272830448,2718996,3918461,2743256,1970364
Christopher,4253956080,61967,88500,73184,46584
Gearing,4281219056,3770108,5547414,3751227,2742283
Burrows,4252907504,32979,49168,43753,26100
Farragut,4289607664,2091749,2677391,1588182,1348091
Jianwei,4184749264,470863,616010,404560,311000
Phra Ruang,4186846416,161004,232943,229432,121312
Fushun,4183700688,550779,762350,518661,397193
Shenyang,4185797840,346478,495258,550826,269353
Yueyang,4179506384,1282657,2028583,1559922,1052047
Longjiang,4187894992,122135,195649,273976,102392
Gadjah Mada,4182652112,709801,1017292,798380,538971
Kunming,4178457808,129248,185544,143101,93330
Chung Mu,4180554960,844538,1266950,974253,657380
Hsienyang,4181603536,718258,1014088,636462,506474
Kléber,4179507024,827547,1189721,963113,622860
Guépard,4183701328,483405,623446,446254,325604
L'Adroit,4279121744,85383,115013,85438,58225
Cassard,4284364624,150911,260544,259389,145372
Jaguar,4184749904,386575,514422,394048,269807
Mogador,4180555600,700360,956851,736158,490998
Fusilier,4186847056,61789,84755,99426,44514
Enseigne Gabolde,4187895632,35137,52209,83856,26889
Le Fantasque,4181604176,639368,857115,643968,443662
Vauquelin,4182652752,507058,660619,473293,342053
L'Aventurier,4275976016,111365,172445,152244,92783
Bourrasque,4185798480,86990,118244,128564,62647
Kléber TE,3435018064,,,,
Orage,4274927440,118617,180126,140588,94620
Le Hardi,4277024592,82083,124778,110778,68152
Duchaffault,4278073168,66758,107867,100952,62185
Grozovoi,4074649040,789182,1193588,865982,613040
Gnevny,4078843344,560269,725747,435965,369430
Zorkiy,4178458064,142635,266871,256001,149739
Podvoisky,4079891920,513003,627882,417609,316973
Izyaslav,4185798096,753204,927174,749401,470227
Delny,3864933840,125479,216663,155288,113855
Ognevoi,4076746192,667284,962170,597129,483423
Derzki,4186846672,624021,774438,863722,403678
Udaloi,4182652368,709927,1047403,750060,538105
Tashkent,3865982416,850294,1225551,753950,604328
Kiev,3971888592,773777,1060574,653199,530312
Minsk,4077794768,690994,915787,590482,469967
Storozhevoi,4187895248,264982,349742,418690,181307
Z-31,4077795120,390605,557183,341697,285195
V-25,4187895600,451817,695582,1305925,388151
Ernst Gaede,4183701296,1457879,1891334,1175652,966108
T-22,4184749872,1234695,1589412,993095,793289
Leberecht Maass,4182652720,1030381,1382288,932436,709183
Elbing,4074649392,614332,911920,667632,448962
Felix Schultz,4075697968,515730,718735,453303,346872
Z-23,4181604144,1147355,1572099,941589,785817
Z-52,4179506992,1465375,2074879,1374517,1050742
Gustav-Julius Maerker,4076746544,444725,595679,349623,286429
Z-57,4178458416,,,,
Z-46,4180555568,1127070,1603388,1110553,819014
G-101,4186847024,425764,552557,592808,285266
V-170,4185798448,869593,1138657,1076060,590500
Daring,4179507152,1300899,2097577,1784591,1129759
Jutland,4180555728,976538,1545145,1154254,804295
Lightning,4181604304,1173350,1704907,1287560,887093
Jervis,4182652880,823427,1143879,867879,601129
Icarus,4183701456,727925,993437,685768,516721
Acasta,4184750032,528110,688457,451124,347818
Wakeful,4185798608,199021,263836,262748,135948
Valkyrie,4186847184,104206,155522,219048,86915
Medea,4187895760,50530,80184,127105,42419
Akizuki,4181604048,3055125,4311419,3439616,2261276
Yamagiri,4178458320,930891,1400011,1068248,706182
Akatsuki,4182652624,2835054,3863018,2558237,1920756
Umikaze,4292753104,550173,825436,917066,442884
Kitakaze,4065212112,3473103,5005730,4083655,2626221
Shiratsuyu,4077795024,1759775,2690590,2148524,1434198
Fubuki,4183701200,2203008,2966886,1831570,1469328
Yūgumo,4075697872,2725763,3951454,2664986,1934078
Isokaze,4291704528,1783156,2426291,2241033,1246505
Wakatake,4269684432,680810,888074,714753,448099
Harugumo,4074649296,1823837,2492044,1796608,1232616
Hatsuharu,4078843600,1298681,1891812,1386855,1000974
Shimakaze,4282267344,8183665,12571074,9228647,6267292
Mutsuki,4184749776,1299219,1798355,1118601,892160
Minekaze,4290655952,2496790,3504717,2926724,1820508
Kagerō,4076746448,2708613,3848811,2472442,1887365
Langley,4185896944,383913,905702,687833,468007
Midway,4179605488,688955,2291209,2063272,1136133
Lexington,4181702640,761773,2399141,2027478,1205627
United States,4178556912,216916,539240,586494,271605
Yorktown,4265588720,274203,811405,571124,414639
Independence,4267685872,147789,398972,225077,201097
Ranger,4183799792,767645,1863627,1244360,932030
Essex,4273977328,253653,763236,740586,402560
Admiral Nakhimov,4179604944,405645,1034210,952628,525298
Pobeda,4181702096,307719,848402,681946,427533
Serov,4183799248,331372,884210,659775,455031
Komsomolets,4185896400,108295,246280,168673,124480
Manfred von Richthofen,4179605296,247370,849419,860225,447967
August von Parseval,4181702448,312859,992793,837939,505944
Weser,4183799600,331689,981184,657644,496774
Rhein,4185896752,199939,528768,416583,279650
Eagle,4178556880,128146,374075,420252,195760
Implacable,4181702608,326585,1083046,815065,534054
Furious,4183799760,405139,1136688,852574,587944
Hermes,4081039312,170268,439138,343149,231204
Audacious,4074747856,228772,768796,682223,384553
Hakuryū,4179605200,436085,1600758,1584465,821550
Ryūjō,4183799504,616298,2053267,1795724,1086614
Sekiryu,4178556624,49758,146023,173343,77163
Hōshō,4185896656,329911,903141,806558,477635
Shōkaku,4181702352,572789,2035473,1767100,1025478
Thor,4284429616,,,,
Enigheten,4276041008,,,,
Chios,4277089584,,,,
Yavuz Sultan Selim,4280235312,,,,
Gustav den Store,4274992432,,,,
Francesco Caracciolo,4182718192,718825,1142863,914946,592906
Dante Alighieri,4185863920,131509,216508,289000,112710
Cristoforo Colombo,4179572464,2175274,3581053,3358766,1861036
Lepanto,4180621040,787277,1239209,847403,618930
Vittorio Veneto,4181669616,760545,1200198,866298,611739
Andrea Doria,4183766768,474642,726529,578870,367731
Conte di Cavour,4184815344,373299,573796,547561,290624
Iowa 2,3331274736,,,,
New Mexico,4259264496,2743033,4701362,3495593,2377682
Iowa,4276041712,3816145,5983611,3868191,2907336
Maine,4178524144,334001,581196,571617,302731
New York,4288624624,1997866,3303423,2238176,1627979
Montana,4277090288,5591808,9426615,7447396,4702123
Vermont,4179572720,1264963,2263132,2042989,1176797
North Carolina 2,3248437232,,,,
Colorado 2,3249485808,,,,
South Carolina,4293867504,704503,1132643,942062,559714
Montana 2,3330226160,,,,
Louisiana,4074715120,193006,370434,289123,191221
Minnesota,4180621296,732898,1237809,855014,610708
North Carolina,4282333168,4113762,6644693,4417226,3269055
Wyoming,4290721776,1556869,2620408,2342661,1329316
Colorado,4286527472,2943972,5022204,3515121,2490937
Delaware,4075763696,224532,398142,276652,206808
Nebraska,4076812272,290694,488257,345055,250329
Kansas,4181669872,779141,1284005,846139,639350
Patrie,4178523984,401915,662971,653084,342142
Lyon,4182718288,1516995,2561449,2310254,1328952
Alsace,4180621136,1830496,2776508,2078123,1394960
Richelieu,4181669712,1879638,2800777,2123235,1444503
République,4179572560,2186907,3611469,3048523,1811426
Normandie,4183766864,933009,1553615,1349738,812587
Courbet,4185864016,187936,300051,300959,151265
Turenne,4186912592,117914,195184,204099,100934
Bretagne,4184815440,593972,926854,724850,462608
Sinop,4182717904,1293971,1949755,1777405,1034450
Knyaz Suvorov,4186912208,121904,201681,262725,107275
Kremlin,4179572176,1900636,2903094,2390558,1523360
Pyotr Velikiy,4184815056,698134,1040527,928525,540131
Izmail,4183766480,1108140,1662020,1601030,884447
Sovetsky Soyuz,4180620752,1355934,2010339,1473172,1022596
Admiral Ushakov,4178523600,121071,178069,148051,93314
Vladivostok,4181669328,1487598,2251041,1837269,1186081
Gangut,4185863632,207733,333358,435993,175577
Prinz Rupprecht,4075763504,1172036,1500450,1099545,768140
Bismarck,4181669680,5644922,8338765,5667719,4206133
Kaiser,4185863984,862164,1494243,1554778,776909
Preussen,3969857328,1017603,1452455,979654,721285
Hannover,4178523952,500994,669321,497085,335693
Gneisenau,4182718256,3232806,4836061,3471897,2437830
Nassau,4186912560,517592,873739,1030269,464260
Derfflinger,4079957808,384880,559822,488838,290117
Prinz Heinrich,4077860656,918626,1240871,1024141,649257
Von der Tann,4082054960,72870,124740,186874,65845
Bayern,4183766832,2134735,3471773,2496955,1741576
Zieten,4076812080,892071,1161437,861597,595583
Moltke,4081006384,132227,208856,266216,107291
Schlieffen,4074714928,2911895,3659975,2812053,1854205
Mackensen,4078909232,516629,725188,626560,382933
Friedrich der Grosse,4180621104,3217347,4628401,2760784,2250465
König,4184815408,1762054,2942714,2391697,1519148
Prinz Sigismund,3257874224,,,,
Orion,4185864144,467442,837492,1052406,456077
St. Vincent,4074715088,941890,1467255,1246610,771848
Renown,4078909392,347684,476494,378835,241434
Indefatigable,4082055120,26898,46437,73032,23774
Iron Duke,4184815568,985306,1617182,1331843,826342
Duncan,4075763664,539430,801255,591902,412957
Tiger,4079957968,281715,414165,400893,214461
Monarch,4181669840,1513753,2443239,1649243,1227262
Cumberland,3445569488,,,,
Lion,4180621264,1257883,2194241,1388589,1080658
Hawke,4076812240,474285,679716,541324,349917
Devastation,4178524112,128905,241645,198242,121651
Queen Mary,4081006544,85775,134662,173476,69066
Queen Elizabeth,4183766992,1123684,1801627,1281779,905238
Bellerophon,4186912720,226432,382426,423019,198078
King George V,4182718416,1690929,2836884,2310261,1472229
Rooke,4077860816,521531,743389,660626,390729
Conqueror,4179572688,2478297,4714371,3569677,2371995
Izumo,4272895696,2698028,4171781,2483664,2017038
Amagi,4281284304,3048291,5165654,3732162,2622542
Kawachi,4293867216,549337,848576,728457,423170
Bungo,4074714832,548247,987108,975284,525524
Adatara,4075763408,349956,567528,406644,287935
Kongō,4287575760,2064623,3479773,2449136,1752380
Myōgi,4291770064,1043641,1711103,1179233,831704
Yamato,4276041424,7167820,12039047,8951259,5982034
Yumihari,4076811984,383142,581846,453436,295471
Satsuma,4178523856,829712,1519799,1322899,770609
Nagato,4284430032,3050223,5075985,3666546,2535809
Fusō,4288624336,2896934,5131276,4249622,2662830
Ipiranga,4276041040,615872,835166,636220,426625
Los Andes,4274992464,504493,692615,601146,365925
Libertad,4284429648,932049,1245170,1134599,649464
Balao,4074158064,865188,1434429,827494,735490
Balao 2,3340154864,,,,
Cachalot,4078352368,703223,1050165,503792,534885
Salmon,4076255216,696658,1108966,586929,579209
K-1,4179015120,61196,101674,55780,52670
L-20,4181112272,72435,110814,46455,56447
S-1,4183209424,135873,210342,71434,106889
U-2501,4074157872,968739,1533184,773114,767194
U-190,4076255024,1076719,1675374,760897,855909
U-69,4078352176,1133188,1791572,952192,932247
Thrasher,4179015632,306214,436621,220570,214094
Sturdy,4181112784,315006,451333,186134,225465
Undine,4183209936,419360,625744,302201,316966
Caradoc,4281251184,27339,39999,75223,19612
Port Jackson,4282299760,12085,21486,41995,11294
Encounter,4274959728,195222,309735,214635,160498
Auckland,4276008304,195208,276416,191957,142631
Delhi,4279154032,144612,203110,191849,108935
Dunedin,4280202608,39020,52908,71385,26613
Uganda,4277056880,161489,223632,150587,113228
Hobart,4278105456,128151,184861,146159,98764
Cerberus,4284396912,224977,392645,311906,202308
Celebes,4184782608,219933,299197,210130,156479
Kijkduin,4183734032,379938,515147,300563,265480
Menno van Coehoorn,4274960144,242478,375343,234856,189201
Johan de Witt,4180588304,633349,972866,591150,503765
Haarlem,4181636880,608250,900715,512779,467903
Jaarsveld,4276008720,347980,499488,274678,251477
Utrecht,4284397328,374020,608944,476505,311325
Java,4186879760,35113,56503,87450,29842
Gouden Leeuw,4179539728,1645504,2509569,1808960,1299140
Eendracht,4182685456,545990,754112,457538,385271
Gelderland,4187928336,16503,26566,37739,13061
De Ruyter,4185831184,114466,164224,183015,87805
Piemonte,4178491120,69702,128190,126835,66837
Taranto,4186879728,103638,138983,153100,69012
Venezia,4179539696,1848049,3674204,2958364,1897934
Trento,4183734000,810010,1079485,642427,545219
Nino Bixio,4187928304,59415,85054,97743,42591
Raimondo Montecuccoli,4184782576,544615,734544,457900,380448
Brindisi,4180588272,1025940,1706712,1108014,852685
Zara,4182685424,833201,1261123,856751,650219
Amalfi,4181636848,1058093,1587178,1016490,809674
Alberto di Giussano,4185831152,196552,257033,248568,132373
Pensacola,4183734256,1275433,1677757,899948,845979
Chester,4292786160,344702,469487,362370,231143
Dallas,4078876656,984298,1340430,768495,689359
Phoenix,4269717488,1413707,1839580,1392740,924487
Des Moines,4273911792,5093670,7400566,5689269,3802676
Worcester,4074682352,2085371,3255682,2268854,1635803
Buffalo,4180588528,1724019,2401471,1266135,1167695
St. Louis,4290689008,1366635,2088145,2254957,1123011
Seattle,4075730928,1317195,1957135,1029357,963802
Baltimore,4181637104,2030594,2712135,1491775,1369279
Jacksonville,4283348976,118827,197072,204278,106255
Helena,4077828080,1125286,1553403,1026300,795789
Omaha,4289640432,3342510,4333808,2952566,2211202
Cleveland,4076779504,2399574,3328746,1968166,1693580
Annapolis,4178491376,719411,1087599,1031924,559560
New Orleans,4182685680,1327803,1819376,995930,898773
Jinan,4179539152,1091960,1635740,1202374,804179
Harbin,4181636304,483387,662206,396009,329611
Chumphon,4182684880,484608,649398,380003,324902
Rahmat,4183733456,370791,486829,286611,246356
Sejong,4180587728,559137,803197,484477,395910
Chungking,4184782032,193960,251399,160317,126976
Cherbourg,4076779344,526272,724210,472993,382470
Marseille,4074682192,678080,1024121,832814,542410
Duguay-Trouin,4185831248,566978,751988,690221,396252
Condé,4178491216,544740,921922,948280,476483
Algérie,4182685520,1378650,1945870,1197325,978436
Friant,4186879824,383319,512772,545837,266115
Brest,4075730768,541101,740176,471273,384180
Émile Bertin,4184782672,1155285,1515301,1024793,797911
Charles Martel,4181636944,1532103,2214149,1412745,1131573
Saint-Louis,4180588368,1094555,1697343,1019408,843131
Henri IV,4179539792,1308407,2204007,1702618,1113243
La Galissonnière,4183734096,1344502,1749524,1020581,882663
Jurien de la Gravière,4187928400,113892,168878,162827,89026
Svietlana,4185830864,739617,969656,805206,502995
Budyonny,4183733712,1843624,2536580,1705445,1305610
Petropavlovsk,3969824208,2289110,3445690,2536440,1818836
Alexander Nevsky,4074681808,925057,1635607,1099276,829019
Dmitri Donskoi,4180587984,1703069,2709384,1577137,1364878
Riga,4075730384,1054279,1542376,860103,774779
Chapayev,4181636560,1741642,2456985,1442197,1233792
Novik,4187928016,136962,202448,206078,106035
Vladimir Monomakh,3267278288,,,,
Tallinn,4076778960,1040400,1395604,769097,695922
Novosibirsk,4178490832,105830,155722,137399,80863
Shchors,4182685136,2230548,3063093,1999452,1534441
Bogatyr,4186879440,400772,599930,681299,325245
Kotovsky,4069438928,370715,466141,278574,234229
Clausewitz,4178491184,230696,402740,317786,198952
Prinz Adalbert,4284397360,68501,90662,78443,48651
Admiral Hipper,4181636912,2852342,4033027,1986461,1972648
Dresden,4292785968,363348,551606,599173,296376
Knesebeck,4276008752,35736,47844,38568,26009
Admiral Scheer,4277057328,55141,69577,48429,35757
Nürnberg,4183734064,3281002,4350390,2442379,2158863
Deutschland,4278105904,140636,175275,123689,91776
Roon,4180588336,2007320,3386978,1817573,1666692
Yorck,4182685488,2564653,3629628,2069516,1800485
Königsberg,4184782640,2883811,3845216,2754074,1990824
Kolberg,4186879792,732231,976741,806004,484925
Manteuffel,4274960176,75803,99756,83229,54425
Hindenburg,4179539760,4170279,6944060,4669963,3393916
Karlsruhe,4185831216,1076946,1373834,933005,679569
Caledon,4186879952,421472,559848,541408,285720
Drake,4075730896,580987,956564,615043,492346
Hawkins,4079925200,384805,497393,276337,251078
Edinburgh,4181637072,1910581,2829623,1803208,1440258
Surrey,4077828048,502242,741300,496123,385159
Albemarle,4076779472,635883,916320,561772,467177
Edgar,4178491344,295463,457318,410878,230158
Fiji,4182685648,2102817,3140999,2591003,1643583
Danae,4185831376,718054,909064,759936,464554
Minotaur,4179539920,3513531,5422900,4603976,2791107
Devonshire,4078876624,560762,748026,485644,387817
Leander,4183734224,1569154,2252836,1700839,1184485
Weymouth,4187928528,154202,231470,225029,122060
Goliath,4074682320,544376,946398,678271,484774
Neptune,4180588496,1860674,2691642,1769038,1336651
Emerald,4184782800,1132689,1427886,835158,703847
Takahashi,4075730640,303253,468223,269697,237836
Yodo,4074682064,380694,604249,417826,300832
Ibuki,4282300112,1753487,2835364,1620765,1392231
Chikuma,4258182864,347231,497360,454450,259344
Shimanto,4076779216,335895,473916,290926,241175
Aoba,4287542992,2137656,2954392,1729164,1490946
Zaō,4259231440,3038739,5367518,4093896,2684250
Tenryū,4279154384,827431,1093848,966354,548752
Gokase,4078876368,276014,359948,235420,183917
Omono,4077827792,301961,407215,255371,205203
Kuma,4281251536,1602159,2105262,1892136,1094194
Mogami,4285445840,2783298,4012053,2470301,2006067
Myōkō,4286494416,2311549,3340869,2124100,1680843
Agano,4079924944,255575,324461,226820,163105
Furutaka,4289640144,2073802,2731952,1601198,1379177
Asturias,4182685104,296223,396358,253511,202441
Cataluña,4181636528,314100,443864,306667,229527
Galicia,4184782256,153623,192142,137613,96049
Baleares,4183733680,173216,225452,145919,116137
Navarra,4186879408,18960,29464,46318,14025
Méndez Núñez,4187927984,24733,42774,79096,22194
Almirante Cervera,4185830832,74298,101189,140547,51974
Castilla,4179539376,376408,601616,475157,305407
Andalucía,4180587952,307620,449065,282290,226411
Santander,4180587856,247449,347975,203679,177023
San Martín,4179539280,290616,459460,362175,244930
Ignacio Allende,4181636432,289827,405943,258422,209036
Coronel Bolognesi,4182685008,270267,361835,242375,183488
Almirante Cochrane,4183733584,232929,326330,241733,172786
La Argentina,4184782160,229229,299104,261040,155865
Córdoba,4185830736,61242,86034,122971,45193
Vicente Guerrero,4186879312,25818,39668,57263,18952
Almirante Barroso,4187927888,9828,18263,40336,10084
,,,,,

